content,rating,sentiment,original_content,segment_content,_class
播 歌 給 手機 聽 讓 它 找出 歌曲 來 很 好 雖然 都 可以 辨識出 歌曲 但 有些 歌曲 沒有 收錄 喔 原來 是 這樣 我 知道 了,5,0,播歌給手機聽讓它找出歌曲來很好雖然都可以辨識出歌曲但有些歌曲沒有收錄喔原來是這樣我知道了,"[['播', '歌', '給', '手機', '聽', '讓', '它', '找出', '歌曲', '來', '很', '好', '雖然', '都', '可以', '辨識出', '歌曲', '但', '有些', '歌曲', '沒有', '收錄', '喔', '原來', '是', '這樣', '我', '知道', '了']]",0
暢順 好聽,5,0.4,暢順好聽,"[['暢順', '好聽']]",0
不錯,5,0.3,不錯,[['不錯']],0
很 不 錯 的 大部分 原 唱 基本 都 有 還 可以 免 費試聽下載 良心軟 件 了,5,0,很不錯的大部分原唱基本都有還可以免費試聽下載良心軟件了,"[['很', '不錯', '的', '大部分', '原唱', '基本', '都', '有', '還可以', '免費', '試聽', '下載', '良心', '軟件', '了']]",0
剛剛 安裝 就 要 問 祖先 十八 代 真是 夠 了 乾脆 解除 安裝 並且 把 它 廣泛 宣傳,1,0,剛剛安裝就要問祖先十八代真是夠了乾脆解除安裝並且把它廣泛宣傳,"[['剛剛', '安裝', '就', '要', '問', '祖先', '十八', '代', '真是', '夠', '了', '乾脆', '解除', '安裝', '並且', '把', '它', '廣泛', '宣傳']]",4
希望 能夠 在 推出 更 高 的 音質 以及 可以 購買 單曲,5,0,希望能夠在推出更高的音質以及可以購買單曲,"[['希望', '能夠', '在', '推出', '更', '高', '的', '音質', '以及', '可以', '購買', '單曲']]",0
一直 呈現 跑 的 狀態 一直 跑不動 不能 聽 已 更新 也 是,2,-0.25,一直呈現跑的狀態一直跑不動不能聽已更新也是,"[['一直', '呈現', '跑', '的', '狀態', '一直', '跑不動', '不能', '聽', '已', '更新', '也', '是']]",4
別的 先 不 說 狀態欄 不 沉浸 就 很 難受,2,-0.5,別的先不說狀態欄不沉浸就很難受,"[['別的', '先', '不', '說', '狀態欄', '不', '沉浸', '就', '很', '難受']]",4
無法 使用 免費 聽 拜託 可以 盡快 修復 嗎,3,-0.4666666667,無法使用免費聽拜託可以盡快修復嗎,"[['無法', '使用', '免費', '聽', '拜託', '可以', '盡快', '修復', '嗎']]",0
方便 好用,5,0.3,方便好用,"[['方便', '好用']]",0
